설치시도명,위도,경도
경기도,37.769612,127.332988
경기도,37.885827,127.550252
경기도,37.834176,127.510664
경기도,37.829361,127.511332
경기도,37.704361,127.547157
경기도,37.704723,127.547238
경기도,37.825688,127.516335
경기도,37.831231,127.509782
경기도,37.740375,127.424363
경기도,37.676048,127.494573
경기도,37.825688,127.516335
경기도,37.676041,127.494515
경기도,37.817687,127.353286
경기도,37.827788,127.516435
경기도,37.593122,127.492126
경기도,37.829361,127.511332
경기도,37.846283,127.499655
경기도,37.825688,127.516335
경기도,37.622834,126.818052
경기도,37.640948,126.787369
경기도,37.661521,126.744339
경기도,37.647203,126.877806
경기도,37.694481,126.769044
경기도,37.680535,126.784214
경기도,37.653735,126.784507
경기도,37.653048,126.832927
경기도,37.6675,126.753468
경기도,37.649507,126.834995
경기도,37.683444,126.748244
경기도,37.652959,126.774814
경기도,37.687367,126.768521
경기도,37.684737,126.777208
경기도,37.677034,126.770221
경기도,37.667884,126.801007
경기도,37.667951,126.751055
경기도,37.649859,126.792396
경기도,37.658386,126.832014
경기도,37.646718,126.894766
경기도,37.647011,126.854848
경기도,37.681512,126.803373
경기도,37.673846,126.786899
경기도,37.640275,126.792514
경기도,37.680718,126.787997
경기도,37.647938,126.782407
경기도,37.661797,126.744226
경기도,37.632824,126.833405
경기도,37.691952,126.815055
경기도,37.677216,126.794836
경기도,37.690494,126.754675
경기도,37.699891,126.781921
경기도,37.659653,126.883655
경기도,37.675165,126.743721
경기도,37.675165,126.743721
경기도,37.637367,126.832592
경기도,37.673398,126.755343
경기도,37.673398,126.755343
경기도,37.632882,126.831076
경기도,37.690977,126.754286
경기도,37.625355,126.836341
경기도,37.673838,126.786899
경기도,37.658704,126.774924
경기도,37.678537,126.745325
경기도,37.669157,126.746174
경기도,37.692623,126.774261
경기도,37.659129,126.768894
경기도,37.631174,126.850432
경기도,37.650463,126.898056
경기도,37.627368,126.827793
경기도,37.629875,126.791061
경기도,37.675071,126.743689
경기도,37.641618,126.787758
경기도,37.675071,126.743689
경기도,37.663575,126.755351
경기도,37.650007,126.778356
경기도,37.695271,126.713765
경기도,37.641495,126.789648
경기도,37.703986,126.763106
경기도,37.666505,126.746792
경기도,37.617448,126.836155
경기도,37.694044,126.761385
경기도,37.671669,126.740221
